participant,contrast,center_x,center_y,center_z,mean_intensity,std_intensity
SUJETO_61B0C637,MB,-36,18,4,1.86249788000126,0.359335366337319
SUJETO_63C82DC6,MB,-36,18,4,-0.959362129821922,0.279002642229188
SUJETO_6462FBBC,MB,-36,18,4,-0.561416795646602,0.66664912171765
SUJETO_649D6CD3,MB,-36,18,4,-0.004491298986279,0.293955609440286
SUJETO_66362819,MB,-36,18,4,-0.309514915213139,0.499345606398475
SUJETO_665D6EAB,MB,-36,18,4,-0.620532730048654,0.420297185909829
SUJETO_685CAE59,MB,-36,18,4,-1.49575638108783,0.437353153266173
SUJETO_6FCE57C3,MB,-36,18,4,0.133274885745851,0.228150179990986
SUJETO_725769F0,MB,-36,18,4,-0.441266544981662,0.408830442148297
SUJETO_72B8E12C,MB,-36,18,4,-0.41552217532128,0.37029592093654
SUJETO_74A044C9,MB,-36,18,4,0.812893068098059,0.423820114055672
SUJETO_774F4A36,MB,-36,18,4,-1.2795983850956,0.404570402126958
SUJETO_7B0E6648,MB,-36,18,4,-0.473130428279289,0.223909861224643
SUJETO_7E1D6F1A,MB,-36,18,4,-0.313350020860783,0.477340493865467
SUJETO_80570E8A,MB,-36,18,4,0.443676399198746,0.278133046230697
SUJETO_80F4D7DA,MB,-36,18,4,-0.690442025962502,0.434730056477389
SUJETO_85DB03A2,MB,-36,18,4,0.568512726311732,0.164755811760605
SUJETO_8E872371,MB,-36,18,4,-0.59088593804174,0.453141756016535
SUJETO_96083B42,MB,-36,18,4,0.788762285176552,0.327432767651705
SUJETO_9AE17E76,MB,-36,18,4,1.19409348446913,0.295368194888097
SUJETO_9D0BD287,MB,-36,18,4,0.0561232938986234,0.407324537219307
SUJETO_A90BAD1A,MB,-36,18,4,-0.786057257027638,0.391197277074277
SUJETO_ACAFF5CE,MB,-36,18,4,-0.237756620735081,0.392845135145303
SUJETO_B7FBB303,MB,-36,18,4,4.43600051451211,1.81850610004779
SUJETO_C28223BA,MB,-36,18,4,0.895896727049893,0.62044900630867
SUJETO_C36569E9,MB,-36,18,4,0.623629947653925,0.394150069949162
SUJETO_C3D9E000,MB,-36,18,4,-0.796874255769783,0.453118543557744
SUJETO_C730BC55,MB,-36,18,4,0.0262940790918138,0.244205866066532
SUJETO_C9AC0C57,MB,-36,18,4,0.790169102977021,0.197324140522097
SUJETO_CFEB32C5,MB,-36,18,4,0.195196987139155,0.203428519660383
SUJETO_D04E11ED,MB,-36,18,4,0.323708348220798,0.461208439538795
SUJETO_D72D8A7C,MB,-36,18,4,0.160330836444792,0.277438922750097
SUJETO_DABE6ACB,MB,-36,18,4,2.41054775377717,0.562869041469387
SUJETO_DCC3C5A9,MB,-36,18,4,-0.793763728605376,0.284329011537889
SUJETO_DCCC88FD,MB,-36,18,4,-1.71429718142808,0.7276287564658
SUJETO_E1314C94,MB,-36,18,4,0.130869130227677,0.144403529850166
SUJETO_E29AEEC5,MB,-36,18,4,0.205011228381684,0.674219084723229
SUJETO_E844AFE8,MB,-36,18,4,0.51486381214827,0.610172676460713
SUJETO_E9306FB7,MB,-36,18,4,0.366108902889972,0.60547254697364
SUJETO_E97CF70E,MB,-36,18,4,0.510178820954429,0.198077991198363
SUJETO_E9EC652D,MB,-36,18,4,-0.510860011376666,0.553087342375215
SUJETO_EAFB7359,MB,-36,18,4,0.337451308401245,0.280526427568704
SUJETO_EFE9883F,MB,-36,18,4,-0.317766475745223,0.215179163319925
SUJETO_FDDFFE87,MB,-36,18,4,0.0512137875111416,0.982897248495635
SUJETO_0000621,MM,-36,18,4,-0.308015636083755,0.228216714057227
SUJETO_0005719,MM,-36,18,4,-1.31197113400758,0.453648697188182
