participant,contrast,center_x,center_y,center_z,mean_intensity,std_intensity
SUJETO_61B0C637,BB,-14,8,10,-0.596639354590966,0.427871118233971
SUJETO_63C82DC6,BB,-14,8,10,-0.0312063029374589,0.319301359502665
SUJETO_6462FBBC,BB,-14,8,10,0.864129937056339,0.267106815091514
SUJETO_649D6CD3,BB,-14,8,10,-0.484829554409541,0.426268392019669
SUJETO_66362819,BB,-14,8,10,1.77132568847049,0.89164874080456
SUJETO_665D6EAB,BB,-14,8,10,1.50608297429904,0.469966446907684
SUJETO_685CAE59,BB,-14,8,10,0.140145593294592,0.656205757618404
SUJETO_6FCE57C3,BB,-14,8,10,-0.224002991167998,0.256555555894499
SUJETO_725769F0,BB,-14,8,10,0.716247852496577,0.221881160545411
SUJETO_72B8E12C,BB,-14,8,10,0.408371407914944,0.551196962014698
SUJETO_74A044C9,BB,-14,8,10,-0.315363050814756,0.879493076418415
SUJETO_774F4A36,BB,-14,8,10,0.552886592374757,0.630073010601044
SUJETO_7B0E6648,BB,-14,8,10,-0.208038286418852,0.286973191096787
SUJETO_7E1D6F1A,BB,-14,8,10,0.175462101727273,0.255857423301288
SUJETO_80570E8A,BB,-14,8,10,-0.0633641815452714,0.432011172575349
SUJETO_80F4D7DA,BB,-14,8,10,-0.678178693816969,0.994338964849996
SUJETO_85DB03A2,BB,-14,8,10,-0.100529053032097,0.558098495348981
SUJETO_8E872371,BB,-14,8,10,-0.123399485692833,0.669182546300966
SUJETO_96083B42,BB,-14,8,10,0.200859844383567,0.167050562374832
SUJETO_9AE17E76,BB,-14,8,10,1.78470723797577,0.675890918635308
SUJETO_9D0BD287,BB,-14,8,10,0.61921990346728,0.579063244224333
SUJETO_A90BAD1A,BB,-14,8,10,-0.402700642631813,0.342946453152883
SUJETO_ACAFF5CE,BB,-14,8,10,0.558622055564715,0.525958812601013
SUJETO_B7FBB303,BB,-14,8,10,1.09177309274673,0.378452574191859
SUJETO_C28223BA,BB,-14,8,10,0.105063886391093,0.269517632204674
SUJETO_C36569E9,BB,-14,8,10,2.41179768124012,0.473348322028708
SUJETO_C3D9E000,BB,-14,8,10,1.51443281257995,0.507186402272684
SUJETO_C730BC55,BB,-14,8,10,0.0169158083095093,0.435187812641365
SUJETO_C9AC0C57,BB,-14,8,10,0.632761397446045,0.521590145866035
SUJETO_CFEB32C5,BB,-14,8,10,0.826917864758559,0.250502142265465
SUJETO_D04E11ED,BB,-14,8,10,0.834897071574674,0.356387171212677
SUJETO_D72D8A7C,BB,-14,8,10,-0.313629154338163,0.679124581150865
SUJETO_DABE6ACB,BB,-14,8,10,1.50316510658072,0.842758975414388
SUJETO_DCC3C5A9,BB,-14,8,10,1.06695301544787,0.390245732483643
SUJETO_DCCC88FD,BB,-14,8,10,-0.88922094275253,0.266197824441019
SUJETO_E1314C94,BB,-14,8,10,0.483742629356607,0.297816326107745
SUJETO_E29AEEC5,BB,-14,8,10,0.692851032873597,0.263706991880177
SUJETO_E844AFE8,BB,-14,8,10,0.683093073091122,0.627092798930545
SUJETO_E9306FB7,BB,-14,8,10,0.184200722573683,0.296925558212239
SUJETO_E97CF70E,BB,-14,8,10,1.61433021648966,0.425529183558539
SUJETO_E9EC652D,BB,-14,8,10,0.0900609709529413,0.208802564316646
